center,surround,correct,thisN,thisTrialN,thisRepN,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.01020266697742045,0.017601249972358346,0.017601249972358346,5.5549950420390815,space,5.5020992499776185,None,,,,,,,,,,,,imani,0,2025-10-18_12h36.43.659,tilt_mocs,2024.2.4,None,2025-10-18 12h37.20.211884 -0400,
,,,,,,,,,,,,,,,,,,,5.555038291960955,5.572618042118847,5.572618042118847,6.7097521249670535,space,1.134456624975428,None,,,,,imani,0,2025-10-18_12h36.43.659,tilt_mocs,2024.2.4,None,2025-10-18 12h37.20.211884 -0400,
30,0,right,0,0,0,0,0,0,0,6.73744916706346,,,,,,,,,,,,,,,,6.728958416962996,6.73744916706346,7.221915333997458,7.221915333997458,,,,,,,,
