center,surround,type,surr_type,orient_opacity,noise_opacity,isi
3,15.0,c+3,poss,100,0,1.25
3,15.0,c+3,poss,100,0,1.25
3,15.0,c+3,poss,100,0,1.25
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.5
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,0.75
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.0
4,15.0,c+4,poss,100,0,1.25
4,15.0,c+4,poss,100,0,1.25
4,15.0,c+4,poss,100,0,1.25
4,15.0,c+4,poss,100,0,1.25
4,15.0,c+4,poss,100,0,1.25
4,15.0,c+4,poss,100,0,1.25
4,15.0,c+4,poss,100,0,1.25
4,15.0,c+4,poss,100,0,1.25
4,15.0,c+4,poss,100,0,1.25
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.5
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,0.75
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.0
6,15.0,c+6,poss,100,0,1.25
6,15.0,c+6,poss,100,0,1.25
6,15.0,c+6,poss,100,0,1.25
6,15.0,c+6,poss,100,0,1.25
6,15.0,c+6,poss,100,0,1.25
6,15.0,c+6,poss,100,0,1.25
6,15.0,c+6,poss,100,0,1.25
6,15.0,c+6,poss,100,0,1.25
6,15.0,c+6,poss,100,0,1.25
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.5
8,15.0,c+8,poss,100,0,0.75
8,15.0,c+8,poss,100,0,0.75
8,15.0,c+8,poss,100,0,0.75
8,15.0,c+8,poss,100,0,0.75
8,15.0,c+8,poss,100,0,0.75
