center,surround,correct,thisN,thisTrialN,thisRepN,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.010742584010586143,0.016784375067800283,0.016784375067800283,0.8791823340579867,space,0.8040652079507709,None,,,,,,,,,,,,,,,,,,,21049999,1,2025-10-18_11h41.24.941,tilt_staircase,2024.2.4,None,2025-10-18 11h41.35.577197 -0400,
,,,,,,,,,,,,,,,,,,,,,,,0.8792643339838833,0.8959129999857396,0.8959129999857396,1.8901744589675218,space,0.9918599589727819,None,,,,,,,,,,,,21049999,1,2025-10-18_11h41.24.941,tilt_staircase,2024.2.4,None,2025-10-18 11h41.35.577197 -0400,
30,0,right,0,0,0,0,0,0,0,,,,,1.9106632499024272,,,,,,,,,,,,,,,,1.9027731250971556,1.9106632499024272,2.3983998340554535,2.3983998340554535,3.37216587504372,right,1,1.45845583290793,None,3.374880125047639,3.4288690420798957,,,,,,,,
