thisRow.t,notes,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,resp.started,text_2.started,surround.started,center.started,surround.stopped,center.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,end.started,text_4.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.10454725008457899,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,0,start,5,-20,0.09997841599397361,0.10454725008457899,0.10454725008457899,0.4915251249913126,0.4915251249913126,0.5673822910757735,0.5673822910757735,0.5713997500715777,0.602265499997884,2.607817333075218,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
2.6459126659901813,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,1,1,start,5,20,2.607975208084099,2.6459126659901813,2.6459126659901813,3.105720875086263,3.105720875086263,3.171613833052106,3.171613833052106,3.185219916049391,3.138344458071515,4.038223125040531,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
4.040827500051819,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,2,2,up,5,-15,4.038392416085117,4.040827500051819,4.040827500051819,4.535861166077666,4.535861166077666,4.605705250054598,4.605705250054598,4.605705250054598,4.539296041009948,5.138810708071105,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
5.1415585411014035,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,2,3,down,5,15,5.138970750034787,5.1415585411014035,5.1415585411014035,5.63634691608604,5.63634691608604,5.706292000017129,5.706292000017129,5.706292000017129,5.6396953330840915,6.172734457999468,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
6.175435791024938,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,3,4,down,5,10,6.172892541042529,6.175435791024938,6.175435791024938,6.6701197910588235,6.6701197910588235,6.740290041081607,6.740290041081607,6.740290041081607,6.6738152500474826,7.206607791013084,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
7.213240208104253,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,3,5,up,5,-10,7.206765250070021,7.213240208104253,7.213240208104253,7.703969083027914,7.703969083027914,7.773989083012566,7.773989083012566,7.773989083012566,7.707247583079152,8.206934250076301,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
8.20965645799879,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,4,6,down,5,5,8.207100458093919,8.20965645799879,8.20965645799879,8.704357416019775,8.704357416019775,8.774586250074208,8.774586250074208,8.774586250074208,8.70815520803444,9.257311750086956,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
9.25994450005237,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,4,7,up,5,-5,9.257459750049748,9.25994450005237,9.25994450005237,9.754823958035558,9.754823958035558,9.82490108301863,9.82490108301863,9.82490108301863,9.758283083094284,10.27460833301302,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
10.277364791021682,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,5,8,up,5,0,10.274767458089627,10.277364791021682,10.277364791021682,10.771995791001245,10.771995791001245,10.84222541609779,10.84222541609779,10.84222541609779,10.775646041030996,11.575094583095051,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
11.577677375054918,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,5,9,down,5,0,11.575241291080602,11.577677375054918,11.577677375054918,12.072574958088808,12.072574958088808,12.142645291052759,12.142645291052759,12.142645291052759,12.076131125097163,12.642261625034735,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
12.644958041026257,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,6,10,up,5,5,12.642423875047825,12.644958041026257,12.644958041026257,13.13970587507356,13.13970587507356,13.209643458016217,13.209643458016217,13.209643458016217,13.143299750052392,13.69607037503738,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
13.706628125044517,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,6,11,up,2,2,13.696228541084565,13.706628125044517,13.706628125044517,14.193980000098236,14.193980000098236,14.260112125077285,14.260112125077285,14.27355854108464,14.193980000098236,14.843121000099927,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
14.845750541076995,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,7,12,down,2,3,14.843278791056946,14.845750541076995,14.845750541076995,15.340702500077896,15.340702500077896,15.410884957993403,15.410884957993403,15.410884957993403,15.344212750089355,16.02716616599355,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
16.029836916015483,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,7,13,down,1,1,16.027316124993376,16.029836916015483,16.029836916015483,16.524555708048865,16.524555708048865,16.594798250007443,16.594798250007443,16.594798250007443,16.52780583302956,18.081351083004847,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
18.091940750018694,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,8,14,up,0.5,1.5,18.08152912510559,18.091940750018694,18.091940750018694,18.57931795809418,18.57931795809418,18.64535995805636,18.64535995805636,18.658860000083223,18.57931795809418,19.732079291017726,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
19.742743041017093,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,8,15,down,2,1,19.73223320802208,19.742743041017093,19.742743041017093,20.229658166063018,20.229658166063018,20.296173291048035,20.296173291048035,20.30963391601108,20.229658166063018,21.095980833051726,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
21.098619666066952,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,9,16,up,0.5,2.0,21.096138500026427,21.098619666066952,21.098619666066952,21.59351083310321,21.59351083310321,21.663437540992163,21.663437540992163,21.663437540992163,21.5969473751029,22.446565666003153,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
22.449118082993664,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,9,17,up,1,2,22.446713375044055,22.449118082993664,22.449118082993664,22.94410904101096,22.94410904101096,23.014235291047953,23.014235291047953,23.014235291047953,22.947417707997374,24.01415270799771,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
24.01689587510191,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,10,18,down,0.25,1.75,24.01433154102415,24.01689587510191,24.01689587510191,24.51150987506844,24.51150987506844,24.58173179102596,24.58173179102596,24.58173179102596,24.514947707997635,25.36451887502335,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
25.368067541043274,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,10,19,down,0.5,1.5,25.364665875094943,25.368067541043274,25.368067541043274,25.8619542500237,25.8619542500237,25.93213395809289,25.93213395809289,25.93213395809289,25.865323375095613,26.615120291011408,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
26.61777933302801,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,11,20,down,0.25,1.5,26.615272875060327,26.61777933302801,26.61777933302801,27.112671000068076,27.112671000068076,27.182782916002907,27.182782916002907,27.182782916002907,27.116118541103788,27.735340040992014,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
27.746357541065663,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,11,21,down,0.5,1.0,27.73547850002069,27.746357541065663,27.746357541065663,28.23382408299949,28.23382408299949,28.301775625091977,28.301775625091977,28.313198500080034,28.23382408299949,28.93284508306533,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
28.93559745803941,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,12,22,down,0.25,1.25,28.933008791063912,28.93559745803941,28.93559745803941,29.430366125074215,29.430366125074215,29.500425291014835,29.500425291014835,29.500425291014835,29.43365762499161,31.100790541036986,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
31.10354945808649,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,12,23,down,0.5,0.5,31.100965541088954,31.10354945808649,31.10354945808649,31.598052166053094,31.598052166053094,31.667889708071016,31.667889708071016,31.667889708071016,31.60267033299897,33.01812816609163,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
33.02082570805214,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,13,24,up,0.25,0.75,33.01829916599672,33.02082570805214,33.02082570805214,33.51557629101444,33.51557629101444,33.58574112504721,33.58574112504721,33.58574112504721,33.51920337509364,34.418521250016056,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
34.421088958042674,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,13,25,down,0.25,1.0,34.41867354104761,34.421088958042674,34.421088958042674,34.916220291052014,34.916220291052014,34.98645441606641,34.98645441606641,34.98645441606641,34.9194584999932,35.95288891601376,0,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
35.95561395806726,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,14,26,up,0.1,1.1,35.95305375009775,35.95561395806726,35.95561395806726,36.45017579104751,36.45017579104751,36.52038533310406,36.52038533310406,36.52038533310406,36.45338179101236,37.08986933308188,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
37.100581041071564,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,14,27,up,0.25,1.0,37.09002241608687,37.100581041071564,37.100581041071564,37.58765087509528,37.58765087509528,37.656118250102736,37.656118250102736,37.667435250012204,37.58765087509528,38.49082366609946,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
38.5011894160416,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,15,28,down,0.1,0.9,38.4909862910863,38.5011894160416,38.5011894160416,38.98834970803,38.98834970803,39.054744041059166,39.054744041059166,39.06809150008485,38.98834970803,39.65718158299569,1,,,704272,001,2025-08-11_14h36.16.943,tilt_staircase,2024.2.4,None,2025-08-11 14h36.23.389787 -0700,
