thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.024778874940238893,0.029825625009834766,0.029825625009834766,1.2729703749064356,space,1.2107595410197973,None,,,,,,,,,,,,001065,001,2025-08-14_15h50.56.475,tilt_staircase,2024.2.4,None,2025-08-14 15h51.09.877566 -0700,
,,,,,,,,,1.273010000004433,1.2879367920104414,1.2879367920104414,1.5786609170027077,space,0.2839626249624416,None,,,,,001065,001,2025-08-14_15h50.56.475,tilt_staircase,2024.2.4,None,2025-08-14 15h51.09.877566 -0700,
,,,,,,,,,,,,,,,,1.5787004169542342,1.5955009999452159,1.5955009999452159,1.5955009999452159,,,,,,,,
