center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.024888041894882917,0.029970292001962662,0.029970292001962662,0.8327316669747233,space,0.7695407919818535,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,022564,001,2025-08-14_14h33.45.028,tilt_staircase,2024.2.4,None,2025-08-14 14h33.58.218253 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.8327692919410765,0.8606313338968903,0.8606313338968903,1.2482731669442728,space,0.3816061669494957,None,,,,,,,,,,,,,,,,,,,,,,022564,001,2025-08-14_14h33.45.028,tilt_staircase,2024.2.4,None,2025-08-14 14h33.58.218253 -0700,
30,0,right,0,0,0,right,1,6.560632584034465,None,space,0.6408975410740823,None,0,0,0,0,1.282736333901994,,,,,,,,,,,,,,,,1.2687257499201223,1.282736333901994,1.282736333901994,1.7453725839732215,1.7453725839732215,1.778671249980107,2.732946041971445,2.732946041971445,2.745437958976254,7.848145958967507,right,1,6.560632584034465,None,7.851208416977897,8.083234541933052,8.083234541933052,8.731312041985802,space,0.6408975410740823,None,022564,001,2025-08-14_14h33.45.028,tilt_staircase,2024.2.4,None,2025-08-14 14h33.58.218253 -0700,
-30,0,left,1,1,0,,,,,,,,0,1,1,1,8.735809583915398,,,,,,,,,,,,,,,,8.731507166987285,8.735809583915398,8.735809583915398,9.228691416908987,9.228691416908987,9.233211166923866,,,,,,,,,,,,,,,,,,,,,,,
