center,surround,corrAns,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.014009624952450395,0.01827412494458258,0.01827412494458258,1.1202949578873813,space,1.0718520840164274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331684,001,2025-08-13_16h54.07.079,tilt_staircase,2024.2.4,None,2025-08-13 16h54.13.383260 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.1203352079028264,1.1289032909553498,1.1289032909553498,2.2544822079362348,space,1.1139646250521764,None,,,,,,,,,,,,,,,,,,,,,,331684,001,2025-08-13_16h54.07.079,tilt_staircase,2024.2.4,None,2025-08-13 16h54.13.383260 -0700,
30,0,right,0,0,0,right,1,1.976825000019744,None,space,1.5319935409352183,None,0,0,0,0,2.2794610409764573,,,,,,,,,,,,,,,,2.2686825409764424,2.2794610409764573,2.2794610409764573,2.7518193749710917,2.7518193749710917,2.7731961659155786,3.739481749944389,3.739481749944389,3.7517455829074606,4.2594390829326585,right,1,1.976825000019744,None,4.262639457941987,4.3180031249066815,4.3180031249066815,5.854406124912202,space,1.5319935409352183,None,331684,001,2025-08-13_16h54.07.079,tilt_staircase,2024.2.4,None,2025-08-13 16h54.13.383260 -0700,
-30,0,left,1,1,0,,,,,,,,0,1,1,1,5.858907499932684,,,,,,,,,,,,,,,,5.854594832984731,5.858907499932684,5.858907499932684,6.352688749902882,6.352688749902882,6.352688749902882,,,,6.804757957928814,left,0,0.9395217079436406,None,6.807034665951505,6.81112766591832,6.81112766591832,,,,,,,,,,,,
