trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,trials.response,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.08674737496767193,,0.07376858300995082,0.08674737496767193,0.08674737496767193,0.08674737496767193,0.08674737496767193,8.9268100829795,0,8.832075209007598,712978,001,2025-08-11_13h55.41.526,tilt_staircase,2024.2.4,None,2025-08-11 13h55.47.884273 -0700,
1,5,25.0,8.980573749984615,,8.928884082939476,8.980573749984615,8.980573749984615,8.980573749984615,8.980573749984615,9.577174249920063,0,0.5908851249841973,712978,001,2025-08-11_13h55.41.526,tilt_staircase,2024.2.4,None,2025-08-11 13h55.47.884273 -0700,
2,5,30.0,9.58588183298707,,9.579204667010345,9.58588183298707,9.58588183298707,9.58588183298707,9.58588183298707,9.793956707930192,0,0.19986141694243997,712978,001,2025-08-11_13h55.41.526,tilt_staircase,2024.2.4,None,2025-08-11 13h55.47.884273 -0700,
3,5,30.0,9.798161249957047,,9.795258207945153,9.798161249957047,9.798161249957047,9.798161249957047,9.798161249957047,9.960503291920759,0,0.15736712492071092,712978,001,2025-08-11_13h55.41.526,tilt_staircase,2024.2.4,None,2025-08-11 13h55.47.884273 -0700,
4,5,30.0,9.964482916984707,,9.961643624934368,9.964482916984707,9.964482916984707,9.964482916984707,9.964482916984707,30.35218087490648,0,20.37428537500091,712978,001,2025-08-11_13h55.41.526,tilt_staircase,2024.2.4,None,2025-08-11 13h55.47.884273 -0700,
5,5,30.0,30.35710525000468,,30.35448824998457,30.35710525000468,30.35710525000468,30.35710525000468,30.35710525000468,30.47416833299212,0,0.11511112505104393,712978,001,2025-08-11_13h55.41.526,tilt_staircase,2024.2.4,None,2025-08-11 13h55.47.884273 -0700,
6,5,30.0,30.483912625000812,,30.475302499951795,30.483912625000812,30.483912625000812,30.483912625000812,30.483912625000812,30.620123666943982,0,0.12833479198161513,712978,001,2025-08-11_13h55.41.526,tilt_staircase,2024.2.4,None,2025-08-11 13h55.47.884273 -0700,
7,5,30.0,30.624194749980234,,30.62116195796989,30.624194749980234,30.624194749980234,30.624194749980234,30.624194749980234,30.720490249921568,0,0.09207604208495468,712978,001,2025-08-11_13h55.41.526,tilt_staircase,2024.2.4,None,2025-08-11 13h55.47.884273 -0700,
,,,30.724795624963008,,30.721614999929443,30.724795624963008,30.724795624963008,30.724795624963008,30.724795624963008,,,,,,,,,,,
