center,surround,correct,thisN,thisTrialN,thisRepN,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.029276042012497783,0.0484732500044629,0.0484732500044629,0.606296707992442,space,0.5265615000389516,None,,,,,,,,,,,,,,,,,319043,001,2025-08-14_11h56.52.512,tilt_staircase,2024.2.4,None,2025-08-14 11h56.58.897471 -0700,
,,,,,,,,,,,,,,,,,,,0.6063442080048844,0.615305749932304,0.615305749932304,1.02759333292488,space,0.41122670902404934,None,,,,,,,,,,319043,001,2025-08-14_11h56.52.512,tilt_staircase,2024.2.4,None,2025-08-14 11h56.58.897471 -0700,
30,0,right,0,0,0,0,0,0,0,1.0448094579624012,,,,,,,,,,,,,,,,1.0346906669437885,1.0448094579624012,1.0448094579624012,1.5291717919753864,1.5291717919753864,1.5367672499269247,2.5252101249061525,2.5252101249061525,2.5252101249061525,,,,,,,,
