trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.036106167011894286,,0.029426541994325817,0.036106167011894286,0.036106167011894286,0.036106167011894286,0.036106167011894286,2.385989625006914,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
1,5,20.0,2.429160250001587,,2.387235292000696,2.429160250001587,2.429160250001587,2.429160250001587,2.429160250001587,3.2726622089976445,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
2,5,20.0,3.280905000050552,,3.2739607919938862,3.280905000050552,3.280905000050552,3.280905000050552,3.280905000050552,3.6559157500742003,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
3,5,20.0,3.6600872500566766,,3.6570552920456976,3.6600872500566766,3.6600872500566766,3.6600872500566766,3.6600872500566766,4.00919066707138,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
4,5,20.0,4.02021762507502,,4.010296749998815,4.02021762507502,4.02021762507502,4.02021762507502,4.02021762507502,4.155941250035539,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
5,5,20.0,4.160068209050223,,4.157105333986692,4.160068209050223,4.160068209050223,4.160068209050223,4.160068209050223,4.2608379169832915,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
6,5,20.0,4.270300625008531,,4.261982209049165,4.270300625008531,4.270300625008531,4.270300625008531,4.270300625008531,4.389476209064014,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
7,5,20.0,4.394337584031746,,4.390583291999064,4.394337584031746,4.394337584031746,4.394337584031746,4.394337584031746,4.489478750037961,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
8,5,20.0,4.493318375083618,,4.490512749995105,4.493318375083618,4.493318375083618,4.493318375083618,4.493318375083618,4.605956000043079,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
9,5,20.0,4.610032667056657,,4.60718354198616,4.610032667056657,4.610032667056657,4.610032667056657,4.610032667056657,4.689725334057584,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
10,5,20.0,4.693628167035058,,4.690846750047058,4.693628167035058,4.693628167035058,4.693628167035058,4.693628167035058,4.822988292085938,538785,001,2025-08-11_13h47.39.541,tilt_staircase,2024.2.4,None,2025-08-11 13h47.45.381097 -0700,
