center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.024034040980041027,0.029062915942631662,0.029062915942631662,0.7448206659173593,space,0.6638757080072537,None,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_14h46.48.206,tilt_staircase,2024.2.4,None,2025-08-14 14h46.59.782523 -0700,
,,,,,,,,,,,,,,,,,,,,,,,0.7448876249836758,0.7573254159651697,0.7573254159651697,1.20901258289814,space,0.4487211250234395,None,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_14h46.48.206,tilt_staircase,2024.2.4,None,2025-08-14 14h46.59.782523 -0700,
30,0,right,0,0,0,right,1,2.072846957948059,None,0,0,0,0,1.2332876248983666,,,,,,,,,,,,,,,,1.223415832966566,1.2332876248983666,1.2332876248983666,1.7116110000060871,1.7116110000060871,1.7230289579601958,2.7087704999139532,2.7087704999139532,2.7087704999139532,3.3091439999407157,right,1,2.072846957948059,None,3.3120764578925446,3.414167832932435,4.819927457952872,759157,001,2025-08-14_14h46.48.206,tilt_staircase,2024.2.4,None,2025-08-14 14h46.59.782523 -0700,
-30,0,left,1,1,0,,,,,0,1,1,1,4.822645832900889,,,,,,,,,,,,,,,,4.820082582999021,4.822645832900889,4.822645832900889,5.307099790894426,5.307099790894426,5.318733207997866,6.302687540999614,6.302687540999614,6.3078672079136595,,,,,,,,,,,,,,,,
