center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.011871374910697341,0.01585916697513312,0.01585916697513312,0.6870000419439748,space,0.6276809170376509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702794,001,2025-08-14_16h05.31.370,tilt_staircase,2024.2.4,None,2025-08-14 16h05.45.980795 -0700,
,,,,,,,,,,,,,,,,,,,,,,,0.687058666953817,0.6959019169444218,0.6959019169444218,0.8395250829635188,space,0.14263295789714903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,702794,001,2025-08-14_16h05.31.370,tilt_staircase,2024.2.4,None,2025-08-14 16h05.45.980795 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8395582080120221,0.8519078330136836,0.8519078330136836,0.8519078330136836,3.886168791912496,space,3.026386833982542,None,,,,,,,,,,,,,,,,,,,702794,001,2025-08-14_16h05.31.370,tilt_staircase,2024.2.4,None,2025-08-14 16h05.45.980795 -0700,
30,0,right,0,0,0,right,1,16.628665499971248,None,0,0,0,0,3.9039108329452574,,,,,,,,,,,,,,,,,,,,,,,,3.8955351249314845,3.9039108329452574,3.9039108329452574,4.382008041953668,4.382008041953668,4.39957012492232,5.369298624922521,5.369298624922521,5.382079457980581,20.536071582930163,right,1,16.628665499971248,None,20.53957324998919,20.704320332966745,22.040444332989864,,702794,001,2025-08-14_16h05.31.370,tilt_staircase,2024.2.4,None,2025-08-14 16h05.45.980795 -0700,
-30,0,left,1,1,0,right,0,3.9097224170109257,None,0,1,1,1,22.049510666984133,,,,,,,,,,,,,,,,,,,,,,,,22.040686291991733,22.049510666984133,22.049510666984133,22.532823249930516,22.532823249930516,22.53853366698604,23.521488957921974,23.521488957921974,23.53292029199656,25.969596416922286,right,0,3.9097224170109257,None,25.971554082934745,25.97999587492086,27.4687966669444,27.472687124973163,702794,001,2025-08-14_16h05.31.370,tilt_staircase,2024.2.4,None,2025-08-14 16h05.45.980795 -0700,
30,60,right,2,2,0,right,1,1.1805327499751002,None,0,2,2,2,27.472687124973163,,,,,,,,,,,,,,,,,,,,,,,,27.469022542005405,27.472687124973163,27.472687124973163,27.966178291942924,27.966178291942924,27.966178291942924,,,,28.658483624923974,right,1,1.1805327499751002,None,28.660466625005938,28.66526829195209,30.151971000013873,30.1557474170113,702794,001,2025-08-14_16h05.31.370,tilt_staircase,2024.2.4,None,2025-08-14 16h05.45.980795 -0700,
-30,-60,left,3,3,0,,,,,0,3,3,3,30.1557474170113,,,,,,,,,,,,,,,,,,,,,,,,30.152224874938838,30.1557474170113,30.1557474170113,30.655918416916393,30.655918416916393,30.649538124911487,31.649574792012572,31.649574792012572,31.65574104199186,,,,,,,,,,,,,,,,,
