thisRow.t,notes,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,resp.started,text_2.started,surround.started,center.started,surround.stopped,center.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.11811683303676546,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,0,start,5,-20,0.11161450005602092,0.11811683303676546,0.11811683303676546,0.49288712500128895,0.49288712500128895,0.5879037500126287,0.5879037500126287,0.5879037500126287,0.6036419580923393,3.0778032920788974,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
3.177794875111431,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,1,1,start,5,20,3.077982708113268,3.177794875111431,3.177794875111431,3.572391042020172,3.572391042020172,3.668541582999751,3.668541582999751,3.6718679170589894,3.6718679170589894,4.271647625020705,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
4.275312208104879,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,2,2,up,5,-15,4.2718184581026435,4.275312208104879,4.275312208104879,4.769073042087257,4.769073042087257,4.855654000071809,4.855654000071809,4.86911241710186,4.772396250045858,5.625425625010394,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
5.636098000104539,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,2,3,down,5,15,5.625569791998714,5.636098000104539,5.636098000104539,6.123332542018034,6.123332542018034,6.219740792061202,6.219740792061202,6.223281917045824,6.123332542018034,6.776143583003432,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
6.7866631670622155,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,3,4,down,5,10,6.776302917045541,6.7866631670622155,6.7866631670622155,7.274032125016674,7.274032125016674,7.370285917073488,7.370285917073488,7.373584167100489,7.274032125016674,8.002656208002008,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
8.020585375023074,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,3,5,up,5,-10,8.002796333050355,8.020585375023074,8.020585375023074,8.491177292075008,8.491177292075008,8.587487042066641,8.587487042066641,8.590915083070286,8.507176500046626,9.307267333031632,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
9.309920750092715,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,4,6,down,5,5,9.307429417036474,9.309920750092715,9.309920750092715,9.804658750072122,9.804658750072122,9.891061542090029,9.891061542090029,9.90477504208684,9.808036000002176,11.241357458056882,1,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
11.244101917021908,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,4,7,up,5,-5,11.241518833092414,11.244101917021908,11.244101917021908,11.73891308309976,11.73891308309976,11.825369792059064,11.825369792059064,11.8388855420053,11.74221325002145,12.50865345809143,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
12.511340917088091,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,5,8,up,5,0,12.50881962501444,12.511340917088091,12.511340917088091,13.006138000055216,13.006138000055216,13.092832042020746,13.092832042020746,13.106180958100595,13.009811917087063,13.976025250041857,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
13.97868741711136,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,5,9,down,5,0,13.97617583302781,13.97868741711136,13.97868741711136,14.473451583064161,14.473451583064161,14.559947917005047,14.559947917005047,14.57349995803088,14.476890583056957,15.197029792005196,0,842496,001,2025-08-11_14h29.39.218,tilt_staircase,2024.2.4,None,2025-08-11 14h31.06.233669 -0700,
