trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.04034033289644867,,0.03373916691634804,0.04034033289644867,0.04034033289644867,0.04034033289644867,0.04034033289644867,1.861295041977428,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
1,5,20.0,1.901106167002581,,1.8625153329921886,1.901106167002581,1.901106167002581,1.901106167002581,1.901106167002581,4.189697207999416,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
2,5,20.0,4.197557249921374,,4.190861291950569,4.197557249921374,4.197557249921374,4.197557249921374,4.197557249921374,4.89011604199186,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
3,5,20.0,4.894622457912192,,4.891382832895033,4.894622457912192,4.894622457912192,4.894622457912192,4.894622457912192,5.109690749901347,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
4,5,20.0,5.120929208002053,,5.110770916915499,5.120929208002053,5.120929208002053,5.120929208002053,5.120929208002053,5.223495582933538,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
5,5,20.0,5.227560957893729,,5.224598624976352,5.227560957893729,5.227560957893729,5.227560957893729,5.227560957893729,5.327354166889563,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
6,5,20.0,5.337628499954008,,5.328471374930814,5.337628499954008,5.337628499954008,5.337628499954008,5.337628499954008,5.440699124941602,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
7,5,20.0,5.445127874962054,,5.441866249893792,5.445127874962054,5.445127874962054,5.445127874962054,5.445127874962054,5.52367033297196,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
8,5,20.0,5.5281189169036224,,5.524769291980192,5.5281189169036224,5.5281189169036224,5.5281189169036224,5.5281189169036224,5.623665541992523,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
9,5,20.0,5.627692166948691,,5.624921082984656,5.627692166948691,5.627692166948691,5.627692166948691,5.627692166948691,5.693976249895059,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
10,5,20.0,5.704510624986142,,5.695076332893223,5.704510624986142,5.704510624986142,5.704510624986142,5.704510624986142,5.807104749954306,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
11,5,20.0,5.8110103328945115,,5.808226041961461,5.8110103328945115,5.8110103328945115,5.8110103328945115,5.8110103328945115,5.85977658291813,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
12,5,20.0,5.871222499990836,,5.860817832988687,5.871222499990836,5.871222499990836,5.871222499990836,5.871222499990836,5.973629041924141,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
13,5,20.0,5.97763566696085,,5.974880207912065,5.97763566696085,5.97763566696085,5.97763566696085,5.97763566696085,6.056995457969606,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
14,5,20.0,6.060724999988452,,6.058042332995683,6.060724999988452,6.060724999988452,6.060724999988452,6.060724999988452,6.160271082888357,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
15,5,20.0,6.171369291958399,,6.161399999982677,6.171369291958399,6.171369291958399,6.171369291958399,6.171369291958399,6.25728395790793,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
16,5,20.0,6.261177666950971,,6.258386499946937,6.261177666950971,6.261177666950971,6.261177666950971,6.261177666950971,6.361243332969025,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
17,5,20.0,6.3714601249666885,,6.3623717919690534,6.3714601249666885,6.3714601249666885,6.3714601249666885,6.3714601249666885,6.47413545800373,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
18,5,20.0,6.4781939999666065,,6.475270999944769,6.4781939999666065,6.4781939999666065,6.4781939999666065,6.4781939999666065,6.5775357919046655,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
19,5,20.0,6.588270416948944,,6.578646499896422,6.588270416948944,6.588270416948944,6.588270416948944,6.588270416948944,6.69101262500044,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
20,5,20.0,6.695168332895264,,6.692264332901686,6.695168332895264,6.695168332895264,6.695168332895264,6.695168332895264,6.774037207942456,867043,001,2025-08-11_14h01.44.543,tilt_staircase,2024.2.4,None,2025-08-11 14h01.50.148939 -0700,
,,,6.777775374939665,,6.775125041953288,6.777775374939665,6.777775374939665,6.777775374939665,6.777775374939665,,,,,,,,,
