trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,trials.response,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.03611841599922627,,0.029791958048008382,0.03611841599922627,0.03611841599922627,0.03611841599922627,0.03611841599922627,3.338173000025563,1,3.27547583298292,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
1,5,15.0,3.3786296660546213,,3.3408431250136346,3.3786296660546213,3.3786296660546213,3.3786296660546213,3.3786296660546213,4.317370458040386,1,0.9325328330742195,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
2,5,10.0,4.325951375067234,,4.318773083039559,4.325951375067234,4.325951375067234,4.325951375067234,4.325951375067234,7.51847925002221,1,3.1784130840096623,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
3,5,5.0,7.5239957079757005,,7.519850583048537,7.5239957079757005,7.5239957079757005,7.5239957079757005,7.5239957079757005,12.671252083033323,1,5.138397875009105,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
4,2,0.0,12.676256541046314,,12.672665875055827,12.676256541046314,12.676256541046314,12.676256541046314,12.676256541046314,16.472703790990636,0,3.7901935830013826,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
5,1,2.0,16.477443790994585,,16.474059832980856,16.477443790994585,16.477443790994585,16.477443790994585,16.477443790994585,27.97793004103005,1,11.48911245900672,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
6,1,1.0,27.982592041022144,,27.979252416058443,27.982592041022144,27.982592041022144,27.982592041022144,27.982592041022144,30.061868875054643,1,2.067254791036248,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
7,0.5,0.0,30.06603487499524,,30.063056666054763,30.06603487499524,30.06603487499524,30.06603487499524,30.06603487499524,31.795991208055057,0,1.7215343329589814,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
8,0.25,0.5,31.800713957985863,,31.79754970804788,31.800713957985863,31.800713957985863,31.800713957985863,31.800713957985863,33.53019779105671,1,1.7279680829960853,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
9,0.25,0.25,33.53456458298024,,33.53155820805114,33.53456458298024,33.53456458298024,33.53456458298024,33.53456458298024,34.047018208075315,1,0.5066700419411063,163995,001,2025-08-11_13h21.34.830,tilt_staircase,2024.2.4,None,2025-08-11 13h21.40.917572 -0700,
,,,34.05128204100765,,34.04824324999936,34.05128204100765,34.05128204100765,34.05128204100765,34.05128204100765,,,,,,,,,,,
