trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.10239804198499769,,0.09250862500630319,0.10239804198499769,0.10239804198499769,0.10239804198499769,0.10239804198499769,3.933397375047207,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
1,5,20.0,4.075323124998249,,3.9346583749866113,4.075323124998249,4.075323124998249,4.075323124998249,4.075323124998249,4.4682861670153216,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
2,5,20.0,4.479910042020492,,4.4694656250067055,4.479910042020492,4.479910042020492,4.479910042020492,4.479910042020492,5.087593542062677,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
3,5,20.0,5.093401166959666,,5.08856270799879,5.093401166959666,5.093401166959666,5.093401166959666,5.093401166959666,5.332385333022103,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
4,5,20.0,5.343679458019324,,5.33339166699443,5.343679458019324,5.343679458019324,5.343679458019324,5.343679458019324,5.579735666979104,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
5,5,20.0,5.583743458031677,,5.580762333003804,5.583743458031677,5.583743458031677,5.583743458031677,5.583743458031677,5.829947583028115,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
6,5,20.0,5.834241750068031,,5.83115566696506,5.834241750068031,5.834241750068031,5.834241750068031,5.834241750068031,6.316543458029628,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
7,5,20.0,6.327450916985981,,6.317797041963786,6.327450916985981,6.327450916985981,6.327450916985981,6.327450916985981,6.563565292046405,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
8,5,20.0,6.567546542035416,,6.564758292050101,6.567546542035416,6.567546542035416,6.567546542035416,6.567546542035416,6.696749874972738,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
9,5,20.0,6.700672417064197,,6.697869917028584,6.700672417064197,6.700672417064197,6.700672417064197,6.700672417064197,6.799936875002459,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
10,5,20.0,6.811052083037794,,6.801073833019473,6.811052083037794,6.811052083037794,6.811052083037794,6.811052083037794,6.931758958031423,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
11,5,20.0,6.93560620804783,,6.932818250032142,6.93560620804783,6.93560620804783,6.93560620804783,6.93560620804783,7.013535875012167,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
12,5,20.0,7.017237500054762,,7.014574000029825,7.017237500054762,7.017237500054762,7.017237500054762,7.017237500054762,7.134204083005898,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
13,5,20.0,7.144563375040889,,7.135472167050466,7.144563375040889,7.144563375040889,7.144563375040889,7.144563375040889,7.2337577500147745,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
14,5,20.0,7.245916542015038,,7.234842250007205,7.245916542015038,7.245916542015038,7.245916542015038,7.245916542015038,7.380399417015724,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
15,5,20.0,7.384349166997708,,7.381526667042635,7.384349166997708,7.384349166997708,7.384349166997708,7.384349166997708,7.664153374964371,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
16,5,20.0,7.668244792032056,,7.665376542019658,7.668244792032056,7.668244792032056,7.668244792032056,7.668244792032056,7.9475001670653,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
17,5,20.0,7.951522874995135,,7.948691250057891,7.951522874995135,7.951522874995135,7.951522874995135,7.951522874995135,8.18393262499012,439237,001,2025-08-11_13h07.55.801,tilt_staircase,2024.2.4,None,2025-08-11 13h08.08.997627 -0700,
,,,8.194976957980543,,8.18519466696307,8.194976957980543,8.194976957980543,8.194976957980543,8.194976957980543,,,,,,,,,
