thisRow.t,notes,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.13396504102274776,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,1,0,start,5,20,0.12481570802628994,0.13396504102274776,0.13396504102274776,0.13396504102274776,0.13396504102274776,7.488230000017211,1,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
7.527439750032499,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,1,start,5,-20,7.490545125096105,7.527439750032499,7.527439750032499,7.527439750032499,7.527439750032499,8.523531750077382,0,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
8.529249040992,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,2,2,down,5,15,8.526154916035011,8.529249040992,8.529249040992,8.529249040992,8.529249040992,12.641286541009322,1,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
12.645888833096251,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,2,3,up,5,-15,12.642587000038475,12.645888833096251,12.645888833096251,12.645888833096251,12.645888833096251,13.508333125035278,0,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
13.51268012507353,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,3,4,up,5,-10,13.509609041037038,13.51268012507353,13.51268012507353,13.51268012507353,13.51268012507353,14.7953792080516,0,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
14.806185458088294,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,3,5,down,5,10,14.796548458049074,14.806185458088294,14.806185458088294,14.806185458088294,14.806185458088294,16.493302458082326,1,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
16.49811991606839,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,4,6,up,5,-5,16.494712791056372,16.49811991606839,16.49811991606839,16.49811991606839,16.49811991606839,17.543612000066787,0,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
17.548042415990494,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,4,7,down,5,5,17.544935666024685,17.548042415990494,17.548042415990494,17.548042415990494,17.548042415990494,18.864185790997,1,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
18.874742833082564,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,5,8,up,5,0,18.865426125004888,18.874742833082564,18.874742833082564,18.874742833082564,18.874742833082564,21.09837454103399,0,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
21.1091155000031,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,5,9,down,5,0,21.099563750089146,21.1091155000031,21.1091155000031,21.1091155000031,21.1091155000031,23.229311041068286,0,369685,001,2025-08-11_14h17.48.962,tilt_staircase,2024.2.4,None,2025-08-11 14h18.32.131712 -0700,
