thisRow.t,notes,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,resp.started,text_2.started,surround.started,center.started,surround.stopped,center.stopped,text_2.stopped,text_3.started,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.10067441698629409,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,1,0,start,5,20,0.09594962501432747,0.10067441698629409,0.10067441698629409,0.4947775830514729,0.4947775830514729,0.5906134999822825,0.5906134999822825,0.5906134999822825,0.5906134999822825,1.7981672079768032,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
1.8373541670152918,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,1,start,5,-20,1.7983669999521226,1.8373541670152918,1.8373541670152918,2.2913337500067428,2.2913337500067428,2.3876763329608366,2.3876763329608366,2.3241846669698134,2.390748457983136,3.8113172920420766,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
3.8217416249681264,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,2,2,up,5,-15,3.8114938749931753,3.8217416249681264,3.8217416249681264,4.308782791951671,4.308782791951671,4.4052852500462905,4.4052852500462905,4.308782791951671,4.408943000016734,5.741979707963765,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
5.74921658297535,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,2,3,down,5,15,5.742139582987875,5.74921658297535,5.74921658297535,6.2393991249846295,6.2393991249846295,6.325754082994536,6.325754082994536,6.243013708037324,6.339516749954782,7.492662291973829,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
7.495301999966614,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,3,4,up,5,-10,7.492823958047666,7.495301999966614,7.495301999966614,7.990173208061606,7.990173208061606,8.077148791984655,8.077148791984655,7.993611083016731,8.090256417053752,8.97692033299245,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
8.9797142080497,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,3,5,down,5,10,8.977076082956046,8.9797142080497,8.9797142080497,9.47424354206305,9.47424354206305,9.560598750016652,9.560598750016652,9.47755099995993,9.574285499984398,10.393581500044093,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
10.39508583303541,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,4,6,up,5,-5,10.393730625044554,10.39508583303541,10.39508583303541,10.891608292004094,10.891608292004094,10.978475332958624,10.978475332958624,10.891608292004094,10.99160591699183,16.013832041993737,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
16.016951041994616,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,4,7,down,5,5,16.013983250013553,16.016951041994616,16.016951041994616,16.510772999958135,16.510772999958135,16.598043416975997,16.598043416975997,16.514326332951896,16.610818541957997,18.01736966695171,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
18.02807408303488,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,5,8,up,5,0,18.01753854204435,18.02807408303488,18.02807408303488,18.515638999990188,18.515638999990188,18.611801541992463,18.611801541992463,18.515638999990188,18.611801541992463,22.24896550003905,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
22.251715083024465,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,5,9,down,5,0,22.24919141700957,22.251715083024465,22.251715083024465,22.746842124965042,22.746842124965042,22.832895208033733,22.832895208033733,22.74951154203154,22.846977832959965,24.053141582990065,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
24.06411191704683,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,6,10,up,2,2,24.05330312496517,24.06411191704683,24.06411191704683,24.550742625026032,24.550742625026032,24.647709000040777,24.647709000040777,24.550742625026032,24.65044304204639,25.834359125001356,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
25.83713300002273,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,6,11,down,2,-2,25.834520375006832,25.83713300002273,25.83713300002273,26.331801249994896,26.331801249994896,26.41854770795908,26.41854770795908,26.33490779204294,26.431877000024542,27.518646250013262,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
27.52138129202649,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,7,12,up,1,-1,27.51882704196032,27.52138129202649,27.52138129202649,28.01592079200782,28.01592079200782,28.10252162499819,28.10252162499819,28.019051791983657,28.115957500063814,29.243206041981466,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
29.249826750019565,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,7,13,down,1,1,29.24334425001871,29.249826750019565,29.249826750019565,29.73729308298789,29.73729308298789,29.83345808298327,29.83345808298327,29.73729308298789,29.838240707991645,33.50459312496241,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
33.50726083305199,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,8,14,up,1,0,33.50475916697178,33.50726083305199,33.50726083305199,34.00197062501684,34.00197062501684,34.088614791980945,34.088614791980945,34.00528095802292,34.10204500006512,35.12192862504162,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
35.12461249995977,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,8,15,down,1,0,35.12208295799792,35.12461249995977,35.12461249995977,35.61937362502795,35.61937362502795,35.706011667032726,35.706011667032726,35.62284375005402,35.719455166952685,36.76098408305552,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
36.76990983297583,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,9,16,up,1,1,36.76115575002041,36.76990983297583,36.76990983297583,37.256874416954815,37.256874416954815,37.35348241706379,37.35348241706379,37.256874416954815,37.356977125047706,38.326326583046466,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
38.3372847919818,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,9,17,up,0.5,0.5,38.326469582971185,38.3372847919818,38.3372847919818,38.82435687503312,38.82435687503312,38.92082025005948,38.92082025005948,38.82435687503312,38.924324042047374,40.54073845804669,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
40.54322008299641,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,10,18,up,0.5,1.0,40.5408874170389,40.54322008299641,40.54322008299641,41.03845758305397,41.03845758305397,41.12511754198931,41.12511754198931,41.04168675001711,41.13851491699461,42.59530887496658,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
42.605874167056754,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,10,19,up,1,2,42.595457207993604,42.605874167056754,42.605874167056754,43.093339708051644,43.093339708051644,43.18945950001944,43.18945950001944,43.093339708051644,43.19300650001969,43.97925366705749,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
43.98984116700012,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,11,20,down,0.5,1.5,43.979432708001696,43.98984116700012,43.98984116700012,44.4773097919533,44.4773097919533,44.57340412505437,44.57340412505437,44.4773097919533,44.57682974997442,45.563062708009966,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
45.573896792018786,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,11,21,down,0.25,0.75,45.56321083300281,45.573896792018786,45.573896792018786,46.06096933304798,46.06096933304798,46.15999004198238,46.15999004198238,46.06096933304798,46.174137499998324,47.86386066698469,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
47.87492412503343,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,12,22,down,0.5,1.0,47.86401074996684,47.87492412503343,47.87492412503343,48.361962042050436,48.361962042050436,48.458483707974665,48.458483707974665,48.361962042050436,48.46197349997237,49.39498420804739,1,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
49.39756045804825,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,12,23,down,0.25,0.5,49.3951278750319,49.39756045804825,49.39756045804825,49.892474208027124,49.892474208027124,49.97917158296332,49.97917158296332,49.895805416977964,49.992556042037904,50.71525379200466,0,931715,001,2025-08-11_14h25.18.860,tilt_staircase,2024.2.4,None,2025-08-11 14h25.24.841057 -0700,
