center,surround,correct,thisN,thisTrialN,thisRepN,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.014189374982379377,0.020111209014430642,0.020111209014430642,0.7814899999648333,space,0.7306192079558969,None,,,,,,,,,,,,,,,,,995490,001,2025-08-14_14h35.26.784,tilt_staircase,2024.2.4,None,2025-08-14 14h35.40.027412 -0700,
,,,,,,,,,,,,,,,,,,,0.7815297089982778,0.7904704170068726,0.7904704170068726,1.7329008339438587,space,0.9396601250628009,None,,,,,,,,,,995490,001,2025-08-14_14h35.26.784,tilt_staircase,2024.2.4,None,2025-08-14 14h35.40.027412 -0700,
30,0,right,0,0,0,0,0,0,0,1.74674295890145,,,,,,,,,,,,,,,,1.738840083940886,1.74674295890145,1.74674295890145,2.2356361669953912,2.2356361669953912,2.242918459000066,3.231294374912977,3.231294374912977,3.231294374912977,,,,,,,,
