trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,trials.response,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.035773915937170386,,0.029220499913208187,0.035773915937170386,0.035773915937170386,0.035773915937170386,0.035773915937170386,6.467942707939073,1,6.401523209060542,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
1,5,15.0,6.508947290945798,,6.470527790952474,6.508947290945798,6.508947290945798,6.508947290945798,6.508947290945798,8.910385832889006,1,2.397428583004512,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
2,5,10.0,8.918642499949783,,8.911669249995612,8.918642499949783,8.918642499949783,8.918642499949783,8.918642499949783,11.12805999990087,1,2.199534708983265,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
3,5,5.0,11.135454207891598,,11.12939924991224,11.135454207891598,11.135454207891598,11.135454207891598,11.135454207891598,13.011868957895786,1,1.8643856659764424,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
4,2,0.0,13.016121790977195,,13.01303474989254,13.016121790977195,13.016121790977195,13.016121790977195,13.016121790977195,14.929668707889505,0,1.9012027499265969,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
5,1,2.0,14.934097790974192,,14.93091316591017,14.934097790974192,14.934097790974192,14.934097790974192,14.934097790974192,20.84916608291678,1,5.911366667016409,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
6,1,1.0,20.85379162488971,,20.850539374980144,20.85379162488971,20.85379162488971,20.85379162488971,20.85379162488971,27.37173437490128,1,6.515998417045921,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
7,1,0.0,27.38261279091239,,27.372889666003175,27.38261279091239,27.38261279091239,27.38261279091239,27.38261279091239,29.686345290974714,1,2.292227875092067,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
8,1,-1.0,29.69138024991844,,29.688371500000358,29.69138024991844,29.69138024991844,29.69138024991844,29.69138024991844,30.26985324989073,1,0.5705093749566004,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
9,1,-2.0,30.27428162493743,,30.271119707962498,30.27428162493743,30.27428162493743,30.27428162493743,30.27428162493743,30.620010540937074,1,0.33789387496653944,568654,001,2025-08-11_14h08.05.380,tilt_staircase,2024.2.4,None,2025-08-11 14h08.10.697538 -0700,
