center,surround,corrAns,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.04415320802945644,0.05091154098045081,0.05091154098045081,0.769399750046432,space,0.6779092500219122,None,,,,,,,,,,,,,,,,,,,,,,,,,,186482,001,2025-08-13_16h52.15.221,tilt_staircase,2024.2.4,None,2025-08-13 16h52.21.222194 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.769457665970549,0.7779464579652995,0.7779464579652995,1.0615505409659818,space,0.27458524995017797,None,,,,,,,,,,,,,,,,,,,186482,001,2025-08-13_16h52.15.221,tilt_staircase,2024.2.4,None,2025-08-13 16h52.21.222194 -0700,
30,0,right,0,0,0,right,1,1.069862833013758,None,space,2.778255708049983,None,0,0,0,0,1.081028874963522,,,,,,,,,,,,,,,,1.0680465829791501,1.081028874963522,1.081028874963522,1.558618750073947,1.558618750073947,1.5796984160551801,2.1526999580673873,right,1,1.069862833013758,None,2.1568019160768017,2.2257303750375286,2.2257303750375286,5.012212875066325,space,2.778255708049983,None,186482,001,2025-08-13_16h52.15.221,tilt_staircase,2024.2.4,None,2025-08-13 16h52.21.222194 -0700,
-30,0,left,1,1,0,,,,,,,,0,1,1,1,5.017280375002883,,,,,,,,,,,,,,,,5.0124544580467045,5.017280375002883,5.017280375002883,5.508649291004986,5.508649291004986,5.513409874984063,5.999951375066303,left,0,0.9810902080498636,None,6.0022651250474155,6.008599624969065,6.008599624969065,,,,,,,,,,,,
