center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.01504608301911503,0.020302125019952655,0.020302125019952655,0.5281479170080274,space,0.47514995792880654,None,,,,,,,,,,,,,,,,,,,,,,,,,,137429,001,2025-08-14_15h08.53.066,tilt_staircase,2024.2.4,None,2025-08-14 15h09.03.111846 -0700,
,,,,,,,,,,,,,,,,,,,,,,,0.5281892919447273,0.5415695420233533,0.5415695420233533,0.9304358329391107,space,0.38448150001931936,None,,,,,,,,,,,,,,,,,,,137429,001,2025-08-14_15h08.53.066,tilt_staircase,2024.2.4,None,2025-08-14 15h09.03.111846 -0700,
30,0,right,0,0,0,right,1,2.8683735420927405,None,0,0,0,0,0.9570958749391139,,,,,,,,,,,,,,,,0.9390006250469014,0.9570958749391139,0.9570958749391139,1.4354214579798281,1.4354214579798281,1.4550997499609366,2.4280787500320002,2.4280787500320002,2.4280787500320002,3.8308945420430973,right,1,2.8683735420927405,None,3.834013291983865,3.929521666956134,5.340339999995194,,137429,001,2025-08-14_15h08.53.066,tilt_staircase,2024.2.4,None,2025-08-14 15h09.03.111846 -0700,
-30,0,left,1,1,0,left,1,1.17347079096362,None,0,1,1,1,5.343086375040002,,,,,,,,,,,,,,,,5.340525749954395,5.343086375040002,5.343086375040002,5.829452957957983,5.829452957957983,5.839198875008151,,,,6.525898167048581,left,1,1.17347079096362,None,6.525968833011575,6.5338350830134,8.024857208016329,8.028841292019933,137429,001,2025-08-14_15h08.53.066,tilt_staircase,2024.2.4,None,2025-08-14 15h09.03.111846 -0700,
30,60,right,2,2,0,,,,,0,2,2,2,8.028841292019933,,,,,,,,,,,,,,,,8.025069082970731,8.028841292019933,8.028841292019933,8.522520625032485,8.522520625032485,8.522520625032485,9.51152312499471,9.51152312499471,9.522450000047684,10.858884999994189,right,1,2.818317958037369,None,10.85895583301317,10.864433416980319,,,,,,,,,,
