center,surround,corrAns,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.012642915942706168,0.01678125001490116,0.01678125001490116,2.3301916250493377,space,2.2788484590128064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288208,001,2025-08-13_16h51.14.513,tilt_staircase,2024.2.4,None,2025-08-13 16h51.34.608454 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.330236457986757,2.3390577080426738,2.3390577080426738,3.1280615410069004,space,0.7783587500452995,None,,,,,,,,,,,,,,,,,,,,,,288208,001,2025-08-13_16h51.14.513,tilt_staircase,2024.2.4,None,2025-08-13 16h51.34.608454 -0700,
30,0,right,0,0,0,right,1,2.148232000065036,None,space,0.8276799999875948,None,0,0,0,0,3.150323083042167,,,,,,,,,,,,,,,,3.1385436250129715,3.150323083042167,3.150323083042167,3.6239201249554753,3.6239201249554753,3.6449009999632835,4.612695749965496,4.612695749965496,4.62453283299692,5.300261416006833,right,1,2.148232000065036,None,5.304115707986057,5.360199125017971,5.360199125017971,6.194753207964823,space,0.8276799999875948,None,288208,001,2025-08-13_16h51.14.513,tilt_staircase,2024.2.4,None,2025-08-13 16h51.34.608454 -0700,
-30,0,left,1,1,0,left,0,2.0148295839317143,None,space,3.433705957955681,None,0,1,1,1,6.201624333043583,,,,,,,,,,,,,,,,6.1950044999830425,6.201624333043583,6.201624333043583,6.691433875006624,6.691433875006624,6.696679541026242,7.680796124972403,7.680796124972403,7.691369625041261,8.22638945793733,left,0,2.0148295839317143,None,8.228915582993068,8.231747500016354,8.231747500016354,11.667100957944058,space,3.433705957955681,None,288208,001,2025-08-13_16h51.14.513,tilt_staircase,2024.2.4,None,2025-08-13 16h51.34.608454 -0700,
30,60,right,2,2,0,right,1,1.1716597080230713,None,space,1.006448584026657,None,0,2,2,2,11.673819083021954,,,,,,,,,,,,,,,,11.667358207982033,11.673819083021954,11.673819083021954,12.164229040965438,12.164229040965438,12.164229040965438,,,,12.850969790946692,right,1,1.1716597080230713,None,12.853476249962114,12.858622540952638,12.858622540952638,13.866777332965285,space,1.006448584026657,None,288208,001,2025-08-13_16h51.14.513,tilt_staircase,2024.2.4,None,2025-08-13 16h51.34.608454 -0700,
-30,-60,left,3,3,0,,,,,,,,0,3,3,3,13.873809707933106,,,,,,,,,,,,,,,,13.8670378329698,13.873809707933106,13.873809707933106,14.364256166038103,14.364256166038103,14.364256166038103,,,,15.027975625009276,left,0,1.1484094170155004,None,15.030409708037041,15.03465187503025,15.03465187503025,,,,,,,,,,,,
