center,surround,type,surr_type,surr_opacity
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-2.361111111111111,15.0,m3,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-1.3611111111111112,15.0,m2,poss,100
-0.8611111111111112,15.0,m1,poss,100
-0.8611111111111112,15.0,m1,poss,100
-0.8611111111111112,15.0,m1,poss,100
-0.8611111111111112,15.0,m1,poss,100
-0.8611111111111112,15.0,m1,poss,100
-0.8611111111111112,15.0,m1,poss,100
-0.8611111111111112,15.0,m1,poss,100
-0.8611111111111112,15.0,m1,poss,100
