center,surround,type,surr_type,surr_opacity
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
5.777777777777779,15.0,m3,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.277777777777779,15.0,m2,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
6.777777777777779,15.0,m1,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
7.277777777777779,15.0,PSE,poss,100
