center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.013985374942421913,0.02403299999423325,0.02403299999423325,1.6403358748648316,space,1.5644203750416636,None,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h45.54.183,tilt_mocs,2024.2.4,None,2025-10-18 11h46.06.097674 -0400,
,,,,,,,,,,,,,,,,,,,,,,,1.6403782919514924,1.6546062920242548,1.6546062920242548,1.818999582901597,space,0.15309666702523828,None,,,,,,,,,,,,,,21049999,0,2025-10-18_11h45.54.183,tilt_mocs,2024.2.4,None,2025-10-18 11h46.06.097674 -0400,
30,0,right,0,0,0,right,1,1.033208333188668,None,0,0,0,0,1.8363774579484016,,,,,,,,,,,,,,,,1.8284697078634053,1.8363774579484016,2.3338183329906315,2.3338183329906315,2.8731478748377413,right,1,1.033208333188668,None,2.8769914170261472,2.9291375000029802,4.384388624923304,,21049999,0,2025-10-18_11h45.54.183,tilt_mocs,2024.2.4,None,2025-10-18 11h46.06.097674 -0400,
-30,0,left,1,1,0,left,1,0.8140237499028444,None,0,1,1,1,4.390996541827917,,,,,,,,,,,,,,,,4.386292624985799,4.390996541827917,4.873970499960706,4.873970499960706,5.207802374847233,left,1,0.8140237499028444,None,5.207884874893352,5.21650083293207,6.701898166909814,6.708714749896899,21049999,0,2025-10-18_11h45.54.183,tilt_mocs,2024.2.4,None,2025-10-18 11h46.06.097674 -0400,
30,60,right,2,2,0,,,,,0,2,2,2,6.708714749896899,,,,,,,,,,,,,,,,6.703821582952514,6.708714749896899,7.209004249889404,7.209004249889404,,,,,,,,,,,,,,,,,
