center,surround,type,surr_type,surr_opacity
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-2.0833333333333335,15.0,m3,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
-1.0833333333333333,15.0,m2,poss,100
