center,surround,type,surr_type,surr_opacity
1.5,15.0,p1,poss,100
1.5,15.0,p1,poss,100
1.5,15.0,p1,poss,100
1.5,15.0,p1,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.0,15.0,p2,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
2.5,15.0,p3,poss,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
-4.222222222222223,-15.0,m3,negs,100
