center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,text_7.stopped,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.007176375000199187,0.04936729200016998,0.04936729200016998,0.9940230830002292,space,0.9047726250000778,None,,,,,,,,,,,,,,,,,,,,,,,,brian,0,2025-09-15_11h28.53.440,tilt_staircase,2024.2.4,None,2025-09-15 11h29.26.541236 -0400,
,,,,,,,,,,,,,,,,,,,,,,,0.9940825000003315,1.0070439170003738,1.0070439170003738,1.1862224579999747,space,0.1755288749995998,None,,,,,,,,,,,,,,,,,brian,0,2025-09-15_11h28.53.440,tilt_staircase,2024.2.4,None,2025-09-15 11h29.26.541236 -0400,
30,0,right,0,0,0,right,1,1.420061583000006,None,0,0,0,0,1.205512500000168,,,,,,,,,,,,,,,,1.1977042920002532,1.205512500000168,1.714365583000017,1.714365583000017,2.6307202080001844,right,1,1.420061583000006,None,2.6365612080003302,2.6934650000002875,4.134023458000229,,,,,brian,0,2025-09-15_11h28.53.440,tilt_staircase,2024.2.4,None,2025-09-15 11h29.26.541236 -0400,
-30,0,left,1,1,0,left,1,2.6836417919998894,None,0,1,1,1,4.145399917000304,,,,,,,,,,,,,,,,4.135130833000403,4.145399917000304,4.6282039580000855,4.6282039580000855,6.831581124999957,left,1,2.6836417919998894,None,6.831694292000066,6.839848875000371,8.329632833000232,5.617082666999977,5.617082666999977,5.62848166699996,8.336180958000114,brian,0,2025-09-15_11h28.53.440,tilt_staircase,2024.2.4,None,2025-09-15 11h29.26.541236 -0400,
30,60,right,2,2,0,,,,,0,2,2,2,8.336180958000114,,,,,,,,,,,,,,,,8.33094116700022,8.336180958000114,8.828509958000268,8.828509958000268,,,,,,,,,,,,,,,,,,,,
