center,surround,type,surr_type,surr_opacity,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,text_4.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.009448250057175756,0.02481924998573959,0.02481924998573959,3.9883045421447605,space,3.928500082809478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.988346334081143,4.006681250175461,4.006681250175461,5.066808042116463,space,1.0524304590653628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.10512191709131,5.11413291702047,5.11413291702047,7.2166317091323435,space,2.0968229160644114,None,,,,,,,,,,,,,,,,,,,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.223837209166959,7.230511334026232,7.230511334026232,9.588348917197436,space,2.35394183290191,None,,,,,,,,,,,,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
1.1666666666666663,15.0,m2,poss,100,0,0,0,right,2.88512295903638,None,,,,,,,,,0,0,0,1,9.614860250148922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.610321709187701,9.614860250148922,10.104350292123854,10.104350292123854,10.164006209000945,10.181020375108346,10.181020375108346,12.505800292128697,right,2.88512295903638,None,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
-3.75,-15.0,PSE,negs,100,1,1,0,left,1.204512916970998,None,,,,,,,,,0,1,1,91,12.626479250146076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.506968459114432,12.626479250146076,13.001916209002957,13.001916209002957,13.084862750023603,13.067186709027737,13.067186709027737,13.8340766672045,left,1.204512916970998,None,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
-4.25,-15.0,m1,negs,100,2,2,0,left,1.1625180840492249,None,,,,,,,,,0,2,2,83,13.842873000074178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.835052334005013,13.842873000074178,14.331106959143654,14.331106959143654,14.403092209016904,14.403092209016904,14.403092209016904,15.016940292203799,left,1.1625180840492249,None,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
-2.444444444444444,0.0,m2,noss,0,3,3,0,left,0.9892032500356436,None,,,,,,,,,0,3,3,123,15.024245917098597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.018158625112846,15.024245917098597,15.514487584121525,15.514487584121525,15.586122875101864,15.586122875101864,15.586122875101864,16.016731209121644,left,0.9892032500356436,None,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
3.1666666666666665,15.0,p1,poss,100,4,4,0,right,1.1059325421229005,None,,,,,,,,,0,4,4,44,16.02445554221049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.018230042187497,16.02445554221049,16.514486375031993,16.514486375031993,16.586200084071606,16.586200084071606,16.586200084071606,17.13343333406374,right,1.1059325421229005,None,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
1.1666666666666663,15.0,m2,poss,100,5,5,0,left,1.0103541670832783,None,,,,,,,,,0,5,5,10,17.140955709153786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.134617125149816,17.140955709153786,17.63110245903954,17.63110245903954,17.705494209192693,17.705494209192693,17.705494209192693,18.154241417068988,left,1.0103541670832783,None,,,,,,,,brian,001,2025-08-19_16h26.13.057,tilt_mocs,2024.2.4,None,2025-08-19 16h27.16.922702 -0400,
