center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,text_4.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
30,0,right,3,3,0,,,,,100,right,1,0.848901667,None,,,,,,,,,,,0,3,3,3,,,,,29.405309166992083,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.255727792042308,30.264164292020723,31.748473959043622,31.75438912503887,,,,,,,,29.400412749964744,29.405309166992083,29.90587316697929,29.90587316697929,29.982470292015933,29.982470292015933,29.982470292015933,30.255626791971736,right,1,0.848901667,None,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-30,69,left,4,4,0,,,,,0,left,1,1.8585730829508975,None,,,,,,,,,,,0,4,4,4,,,,,31.75438912503887,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.61738120904192,33.624890250037424,35.11615112493746,35.122796250041574,,,,,,,,31.749005416990258,31.75438912503887,32.25427441694774,32.25427441694774,32.33100799995009,32.33100799995009,32.33100799995009,33.61725929193199,left,1,1.8585730829508975,None,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
30,69,right,5,5,0,,,,,0,right,1,1.061339542036876,None,,,,,,,,,,,0,5,5,5,,,,,35.122796250041574,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.187465084018186,36.19845970894676,37.68301670893561,37.69136666704435,,,,,,,,35.11678845901042,35.122796250041574,35.61417737498414,35.61417737498414,35.688618000014685,35.688618000014685,35.688618000014685,36.187353209010325,right,1,1.061339542036876,None,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.68322200002149,37.69136666704435,37.69136666704435,39.25065733399242,space,1.546037832973525,None,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-1,0,,0,0,0,,,,,,,,,,p1,noss,0,left,1.4433835829840973,None,,,,,,,,,0,0,0,28,39.270172583987005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.26232312503271,39.270172583987005,39.755155834020115,39.755155834020115,39.82148812501691,39.83213824999984,39.83213824999984,40.71747037500609,left,1.4433835829840973,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-2,-15,,1,1,0,,,,,,,,,,PSE,negs,100,right,1.5781222080113366,None,,,,,,,,,0,1,1,5,40.726169458939694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.71906575001776,40.726169458939694,41.21472220902797,41.21472220902797,41.28622383403126,41.28622383403126,41.28622383403126,42.30664958397392,right,1.5781222080113366,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
1,15,,2,2,0,,,,,,,,,,m1,poss,100,left,1.1849079579114914,None,,,,,,,,,0,2,2,11,42.31459071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.30769170902204,42.31459071,42.80662820895668,42.80662820895668,42.88173712498974,42.88173712498974,42.88173712498974,43.50845266703982,left,1.1849079579114914,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
0,0,,3,3,0,,,,,,,,,,m2,noss,0,right,1.5711934579303488,None,,,,,,,,,0,3,3,52,43.51388670899905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.50941929,43.51388670899905,44.00739791698288,44.00739791698288,44.081888249958865,44.081888249958865,44.081888249958865,45.088744584005326,right,1.5711934579303488,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-4,-15,,4,4,0,,,,,,,,,,m2,negs,100,left,1.2160312499618158,None,,,,,,,,,0,4,4,47,45.09748804196715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.08977929200046,45.09748804196715,45.580762833938934,45.580762833938934,45.66557404201012,45.65364858403336,45.65364858403336,46.31704404193442,left,1.2160312499618158,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
0,-15,,5,5,0,,,,,,,,,,p2,negs,100,right,1.0001257499679923,None,,,,,,,,,0,5,5,19,46.32492249994539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.31820217,46.32492249994539,46.81486408400815,46.81486408400815,46.88555745896883,46.88555745896883,46.88555745896883,47.33386558,right,1.0001257499679923,None,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
