center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,center_grating.started,center_grating.stopped,surround_grating.started,surround_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,.,2,2,0,,,,,100,period,0,0.9813813748769462,None,,,,,,,,,,,,,0,2,2,2,,,,,93.87471808306873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8624595827423,94.86883687507361,96.35570304188877,96.36002487502992,,,,,,,,93.87217929167673,93.87471808306873,94.37627658294514,94.37627658294514,94.4523142920807,94.4523142920807,94.4523142920807,94.86238787462935,period,0,0.9813813748769462,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
30,0,.,3,3,0,,,,,100,period,0,1.7169957919977605,None,,,,,,,,,,,,,0,3,3,3,,,,,96.36002487502992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.07872841693461,98.08577391691506,99.57165541686118,99.57478562463075,,,,,,,,96.3564835828729,96.36002487502992,96.85915683303028,96.85915683303028,96.9362268326804,96.9362268326804,96.9362268326804,98.07865074975416,period,0,1.7169957919977605,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
-30,69,z,4,4,0,,,,,0,z,1,2.3442156249657273,None,,,,,,,,,,,,,0,4,4,4,,,,,99.57478562463075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.92265433305874,101.92765937466174,103.42424108274281,,,,,,,,,99.57219745777547,99.57478562463075,100.07534079207107,100.07534079207107,100.15245258295909,100.15245258295909,100.15245258295909,101.9225089168176,z,1,2.3442156249657273,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
30,69,.,5,5,0,,,,,0,period,0,1.7534166248515248,None,,,,,,,,,,,,,0,5,5,5,,,,,103.43594666663557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.19558204198256,105.20218470785767,106.68903754185885,106.69451270764694,,,,,,,,103.42508141696453,103.43594666663557,103.91884366702288,103.91884366702288,103.9895758330822,103.9895758330822,103.9895758330822,105.19549062475562,period,0,1.7534166248515248,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.68914970802143,106.69451270764694,106.69451270764694,130.93940412485972,space,24.239307124633342,None,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
8,15.0,,0,0,0,,,,,,,,,,c+8,poss,100,1.25,period,2.5423494577407837,None,None,,,,,,,,,0,0,0,215,130.98222783301026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9724025418982,130.98222783301026,131.43554245773703,131.50607449980453,132.18647529184818,132.2585121667944,133.5265786666423,period,2.5423494577407837,None,133.5266482080333,133.5266767917201,None,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
2,0.0,,1,1,0,,,,,,,,,,c+2,noss,0,0.75,period,1.7575940829701722,None,None,,,,,,,,,0,1,1,593,133.53563854191452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.52765304176137,133.53563854191452,134.02448695804924,134.10231425007805,134.27600104175508,134.3530549169518,135.29466554196551,period,1.7575940829701722,None,135.29473345773295,135.2947572916746,None,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
2,0.0,,2,2,0,,,,,,,,,,c+2,noss,0,0.75,period,1.3531693750992417,None,None,,,,,,,,,0,2,2,591,135.30209274962544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.29569587484002,135.30209274962544,135.79070787504315,135.86887858295813,136.04170920792967,136.11967708263546,136.65690345782787,period,1.3531693750992417,None,136.65698291687295,136.6570084169507,None,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
-2,0.0,,3,3,0,,,,,,,,,,c-2,noss,0,0.5,z,1.6619606660678983,None,None,,,,,,,,,0,3,3,470,136.6646718326956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.65805333293974,136.6646718326956,137.1529978327453,137.2255457919091,137.1529978327453,137.2255457919091,138.3289401247166,z,1.6619606660678983,None,138.32902000006288,138.32904566684738,None,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
0,-15.0,,4,4,0,,,,,,,,,,c+0,negs,100,0.75,,,,,,,,,,,,,0,4,4,377,138.336799999699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.33010437479243,138.336799999699,138.8252026666887,138.90308858267963,139.07592533295974,139.15209266683087,,,,,,,,,,,,,,,
