center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
30,60,.,2,2,0,,,,,100,period,0,0.9659061250276864,None,,,,,,,,,,,,0,2,2,2,,,,,39.83453750004992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.80400133319199,40.80885516712442,42.306045667268336,42.302845458034426,,,,,,,,39.82355691725388,39.83453750004992,40.320950500201434,40.320950500201434,40.40073070814833,40.40073070814833,40.40073070814833,40.80393262533471,period,0,0.9659061250276864,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
30,0,.,3,3,0,,,,,100,period,0,0.9746323330327868,None,,,,,,,,,,,,0,3,3,3,,,,,42.306045667268336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.28716891724616,43.2920030830428,,44.78898254223168,,,,,,,,42.30346829211339,42.306045667268336,42.800567250233144,42.800567250233144,42.872034083120525,42.872034083120525,42.872034083120525,43.28710716729984,period,0,0.9746323330327868,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-30,69,z,4,4,0,,,,,0,z,1,0.8957209591753781,None,,,,,,,,,,,,0,4,4,4,,,,,44.800961249973625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.705041375011206,45.71086166705936,47.207879499997944,47.2035794169642,,,,,,,,44.789619375020266,44.800961249973625,45.28384462511167,45.28384462511167,45.36734679201618,45.36734679201618,45.36734679201618,45.70492395805195,z,1,0.8957209591753781,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
30,69,.,5,5,0,,,,,0,period,0,0.9376701666042209,None,,,,,,,,,,,,0,5,5,5,,,,,47.207879499997944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15578650031239,48.16729500005022,49.66743791708723,49.65519162500277,,,,,,,,47.204330042004585,47.207879499997944,47.70633404236287,47.70633404236287,47.787736291997135,47.787736291997135,47.787736291997135,48.15571395820007,period,0,0.9376701666042209,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.65527325030416,49.66743791708723,49.66743791708723,63.60410083318129,space,13.925144957844168,None,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-4,-15.0,,0,0,0,,,,,,,,,,c-4,negs,100,period,1.1441309577785432,None,None,,,,,,,,,0,0,0,455,63.76076662540436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.752246875315905,63.76076662540436,64.10053133312613,64.10053133312613,64.17158550024033,64.17158550024033,64.90741120837629,period,1.1441309577785432,None,64.90745858335868,64.90748070832342,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-2,15.0,,1,1,0,,,,,,,,,,c-2,poss,100,z,1.7933145416900516,None,None,,,,,,,,,0,1,1,19,64.91976816719398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.90824683336541,64.91976816719398,65.4061150830239,65.4061150830239,65.48446083301678,65.48446083301678,66.7209202083759,z,1.7933145416900516,None,66.72098729200661,66.72101012524217,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
2,15.0,,2,2,0,,,,,,,,,,c+2,poss,100,period,1.5864599160850048,None,None,,,,,,,,,0,2,2,127,66.7273077503778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.72194470837712,66.7273077503778,67.21767341718078,67.21767341718078,67.30064866738394,67.30064866738394,68.319448125083,period,1.5864599160850048,None,68.31950145820156,68.31951708300039,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
2,-15.0,,3,3,0,,,,,,,,,,c+2,negs,100,period,1.662994666956365,None,None,,,,,,,,,0,3,3,620,68.32434508297592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3201670832932,68.32434508297592,68.82051229197532,68.82051229197532,68.90096733300015,68.90096733300015,69.99166995799169,period,1.662994666956365,None,69.99173600040376,69.99175829207525,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
4,15.0,,4,4,0,,,,,,,,,,c+4,poss,100,period,2.769923415966332,None,None,,,,,,,,,0,4,4,184,70.00065679196268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.99265458341688,70.00065679196268,70.50064733298495,70.50064733298495,70.57177516724914,70.57177516724914,72.77521704230458,period,2.769923415966332,None,72.77529045799747,72.77531162509695,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-6,-15.0,,5,5,0,,,,,,,,,,c-6,negs,100,period,1.7180911246687174,None,None,,,,,,,,,0,5,5,424,72.7867514169775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.77616508305073,72.7867514169775,73.27309862524271,73.27309862524271,73.35108429240063,73.35108429240063,74.50793295819312,period,1.7180911246687174,None,74.50799025036395,74.50801137508824,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-2,0.0,,6,6,0,,,,,,,,,,c-2,noss,0,z,2.451657165773213,None,None,,,,,,,,,0,6,6,783,74.51963250013068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.50884070806205,74.51963250013068,75.00608883332461,75.00608883332461,75.08658062526956,75.08658062526956,76.9761357922107,z,2.451657165773213,None,76.97623687516898,76.97625883296132,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
4,0.0,,7,7,0,,,,,,,,,,c+4,noss,0,period,1.5448197089135647,None,None,,,,,,,,,0,7,7,954,76.98400562535971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.97716683335602,76.98400562535971,77.47334029199556,77.47334029199556,77.55322329234332,77.55322329234332,78.53755516698584,period,1.5448197089135647,None,78.5376730421558,78.53769783303142,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-4,0.0,,8,8,0,,,,,,,,,,c-4,noss,0,z,1.1846735416911542,None,None,,,,,,,,,0,8,8,693,78.54440966714174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.53882629238069,78.54440966714174,79.0393975423649,79.0393975423649,79.12009075004607,79.12009075004607,79.7368654999882,z,1.1846735416911542,None,79.73692179238424,79.73694445798174,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-6,-15.0,,9,9,0,,,,,,,,,,c-6,negs,100,z,1.1551100830547512,None,None,,,,,,,,,0,9,9,392,79.74209162499756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.73778895800933,79.74209162499756,80.23424745816737,80.23424745816737,80.30591691704467,80.30591691704467,80.90362079208717,z,1.1551100830547512,None,80.90368387522176,80.9037072500214,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
2,0.0,,10,10,0,,,,,,,,,,c+2,noss,0,period,1.0034020831808448,None,None,,,,,,,,,0,10,10,949,80.90936158318073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.90463054226711,80.90936158318073,81.40059429220855,81.40059429220855,81.4717979580164,81.4717979580164,81.92354033328593,period,1.0034020831808448,None,81.9235996673815,81.92362050013617,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
2,0.0,,11,11,0,,,,,,,,,,c+2,noss,0,period,0.9795823749154806,None,None,,,,,,,,,0,11,11,947,81.93382491730154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.92444250034168,81.93382491730154,82.43382795806974,82.43382795806974,82.50510412501171,82.50510412501171,82.92526920838282,period,0.9795823749154806,None,82.92534737521783,82.92537066712976,None,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-8,-15.0,,12,12,0,,,,,,,,,,c-8,negs,100,,,,,,,,,,,,,0,12,12,390,82.93392466707155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.92627841699868,82.93392466707155,83.43442408321425,83.43442408321425,83.50522495806217,83.50522495806217,,,,,,,,,,,,,,,
