center,surround,type,surr_type,surr_opacity,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
-2.7222222222222228,-15.0,PSE,negs,100,8,8,0,right,2.0094530409551226,None,None,,,,,,,,,0,8,8,403,25.36262504197657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.35156666697003,25.36262504197657,25.844590624968987,25.844590624968987,25.918162041984033,25.918162041984033,27.382180124986917,right,2.0094530409551226,None,27.382432791986503,27.382500417006668,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-0.3611111111111111,0.0,p1,noss,0,9,9,0,right,0.9846550829824992,None,None,,,,,,,,,0,9,9,640,27.395767542009708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.385549833008554,27.395767542009708,27.877890500007197,27.877890500007197,27.951000083005056,27.951000083005056,28.394002499990165,right,0.9846550829824992,None,28.394110499997623,28.394155208021402,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
2.5,15.0,p3,poss,100,10,10,0,left,1.1880747079849243,None,None,,,,,,,,,0,10,10,273,28.401186749979388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.396209999977145,28.401186749979388,28.888227374991402,28.888227374991402,28.962741042021662,28.962741042021662,29.59882087499136,left,1.1880747079849243,None,29.599063291971106,29.59913383302046,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
0.0,15.0,m2,poss,100,11,11,0,left,1.0401083750184625,None,None,,,,,,,,,0,11,11,43,29.612396833021194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.602224041998852,29.612396833021194,30.09524270799011,30.09524270799011,30.166732000012416,30.166732000012416,30.66492562496569,left,1.0401083750184625,None,30.665068249974865,30.66512033296749,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-3.2222222222222228,-15.0,m1,negs,100,12,12,0,right,1.156092042045202,None,None,,,,,,,,,0,12,12,364,30.674705417011864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.667232292005792,30.674705417011864,31.16121829202166,31.16121829202166,31.234705583017785,31.234705583017785,31.837551791977603,right,1.156092042045202,None,31.83771833300125,31.837783249968197,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-2.7222222222222228,-15.0,PSE,negs,100,13,13,0,right,1.0529377089696936,None,None,,,,,,,,,0,13,13,421,31.849107832997106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.840804832987487,31.849107832997106,32.33788783301134,32.33788783301134,32.412904541997705,32.412904541997705,32.90515654196497,right,1.0529377089696936,None,32.90541100001428,32.905483666982036,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
1.0,15.0,PSE,poss,100,14,14,0,left,1.3145542499842122,None,None,,,,,,,,,0,14,14,142,32.91607933299383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.908352833008394,32.91607933299383,33.40471824997803,33.40471824997803,33.47900670801755,33.47900670801755,34.24126408301527,left,1.3145542499842122,None,34.241353457968216,34.24139058298897,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-1.2222222222222228,-15.0,p3,negs,100,15,15,0,right,1.0671810420462862,None,None,,,,,,,,,0,15,15,531,34.248427791986614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.24304625001969,34.248427791986614,34.738047916966025,34.738047916966025,34.812708291981835,34.812708291981835,35.320812749967445,right,1.0671810420462862,None,35.32085687498329,35.32087200001115,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
1.0,15.0,PSE,poss,100,16,16,0,left,1.1527636250248179,None,None,,,,,,,,,0,16,16,135,35.32785041700117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.32156512502115,35.32785041700117,35.82127220800612,35.82127220800612,35.896076957986224,35.896076957986224,36.487133499991614,left,1.1527636250248179,None,36.487282041984145,36.48735004197806,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
2.5,15.0,p3,poss,100,17,17,0,left,1.1581845410401002,None,None,,,,,,,,,0,17,17,265,36.49912229197798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.490401250019204,36.49912229197798,36.98744658299256,36.98744658299256,37.062712499988265,37.062712499988265,37.665651125018485,left,1.1581845410401002,None,37.665888499992434,37.665963375009596,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-2.2222222222222228,-15.0,p1,negs,100,18,18,0,right,1.0637321249814704,None,None,,,,,,,,,0,18,18,443,37.67844608298037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66899224999361,37.67844608298037,38.16120500001125,38.16120500001125,38.235469833016396,38.235469833016396,38.74876695801504,right,1.0637321249814704,None,38.74899558298057,38.749067207972985,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
2.5,15.0,p3,poss,100,19,19,0,left,1.2336512919864617,None,None,,,,,,,,,0,19,19,270,38.75968391698552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.75182216701796,38.75968391698552,39.244612833019346,39.244612833019346,39.31762012501713,39.31762012501713,39.998773582978174,left,1.2336512919864617,None,39.99901133298408,39.99907358299242,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-4.222222222222223,-15.0,m3,negs,100,20,20,0,left,1.1085738749825396,None,None,,,,,,,,,0,20,20,288,40.00922195799649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.001752291980665,40.00922195799649,40.49453516700305,40.49453516700305,40.566534625017084,40.566534625017084,41.1208712499938,left,1.1085738749825396,None,41.12102991697611,41.121099499985576,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-3.722222222222223,-15.0,m2,negs,100,21,21,0,right,1.0907682499964722,None,None,,,,,,,,,0,21,21,328,41.13259366701823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.12402041698806,41.13259366701823,41.62087041698396,41.62087041698396,41.695945957966615,41.695945957966615,42.232086749980226,right,1.0907682499964722,None,42.23231699998723,42.23238333297195,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
1.0,15.0,PSE,poss,100,22,22,0,left,1.067961958993692,None,None,,,,,,,,,0,22,22,151,42.24554425000679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.235302832967136,42.24554425000679,42.727897458011284,42.727897458011284,42.80164049996529,42.80164049996529,43.326832916995045,left,1.067961958993692,None,43.3269464999903,43.32700004201615,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
0.5,15.0,m3,poss,100,23,23,0,left,1.055009500007145,None,None,,,,,,,,,0,23,23,11,43.3340994999744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.32931716699386,43.3340994999744,43.82095287501579,43.82095287501579,43.8959937079926,43.8959937079926,44.39848679199349,left,1.055009500007145,None,44.39867399999639,44.39874812500784,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
2.0,15.0,p2,poss,100,24,24,0,left,1.2150005419971421,None,None,,,,,,,,,0,24,24,209,44.412092167011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.40170216700062,44.412092167011,44.89606233302038,44.89606233302038,44.96766070800368,44.96766070800368,45.63175041700015,left,1.2150005419971421,None,45.6319655830157,45.63203420798527,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
2.5,15.0,p3,poss,100,25,25,0,left,1.2483724160119891,None,None,,,,,,,,,0,25,25,263,45.645017292001285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.63492070802022,45.645017292001285,46.12820824998198,46.12820824998198,46.2014592079795,46.2014592079795,46.898881750006694,left,1.2483724160119891,None,46.89912399998866,46.89918991702143,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
0.5,15.0,m1,poss,100,26,26,0,left,1.038747249986045,None,None,,,,,,,,,0,26,26,118,46.91100866696797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.90211654198356,46.91100866696797,47.39485520799644,47.39485520799644,47.46670329198241,47.46670329198241,47.95403087500017,left,1.038747249986045,None,47.95419116696576,47.95424433297012,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-4.222222222222223,-15.0,m3,negs,100,27,27,0,left,1.0933875000337139,None,None,,,,,,,,,0,27,27,296,47.965328167018015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.95694241701858,47.965328167018015,48.454599582997616,48.454599582997616,48.52928920800332,48.52928920800332,49.06483804201707,left,1.0933875000337139,None,49.065046624979004,49.06511795800179,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-1.1388888888888888,0.0,m2,noss,0,28,28,0,left,1.0713987089693546,None,None,,,,,,,,,0,28,28,587,49.076509958016686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.06808449997334,49.076509958016686,49.56118645798415,49.56118645798415,49.634844707965385,49.634844707965385,50.15414795797551,left,1.0713987089693546,None,50.154341333021875,50.15440383297391,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-0.3611111111111111,0.0,p1,noss,0,29,29,0,right,1.064753999991808,None,None,,,,,,,,,0,29,29,659,50.16580849996535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.15729241701774,50.16580849996535,50.654688042006455,50.654688042006455,50.72925249999389,50.72925249999389,51.2373341670027,right,1.064753999991808,None,51.23750945797656,51.23757370800013,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
1.5,15.0,p1,poss,100,30,30,0,,,,,,,,,,,,,0,30,30,188,51.24898066697642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.240557957964484,51.24898066697642,51.73855554201873,51.73855554201873,51.81258429196896,51.81258429196896,,,,,,,,,,,,,,,
