center,surround,type,surr_type,surr_opacity,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.010786124970763922,0.018178500002250075,0.018178500002250075,1.5698984999908134,space,1.4974347919924185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,0,2025-09-11_12h35.38.657,tilt_mocs,2024.2.4,None,2025-09-11 12h35.46.606882 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5699869999662042,1.5864226249977946,1.5864226249977946,1.8388135000132024,space,0.2462144999881275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,0,2025-09-11_12h35.38.657,tilt_mocs,2024.2.4,None,2025-09-11 12h35.46.606882 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8517306669964455,1.8614246670040302,1.8614246670040302,2.4601344169932418,space,0.5967167079797946,None,,,,,,,,,,,,,,,,,,,,,brian,0,2025-09-11_12h35.38.657,tilt_mocs,2024.2.4,None,2025-09-11 12h35.46.606882 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.467332666972652,2.4757861249963753,2.4757861249963753,3.3825104580027983,space,0.8953119170037098,None,,,,,,,,,,,,,,brian,0,2025-09-11_12h35.38.657,tilt_mocs,2024.2.4,None,2025-09-11 12h35.46.606882 -0400,
-3.2222222222222228,-15.0,m1,negs,100,0,0,0,left,1.4338272500317544,None,None,,,,,,,,,0,0,0,378,3.422280291968491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4190948749892414,3.422280291968491,3.888731916958932,3.888731916958932,3.9574137079762295,3.9574137079762295,4.863075917004608,left,1.4338272500317544,None,4.863299457996618,4.863372791965958,None,brian,0,2025-09-11_12h35.38.657,tilt_mocs,2024.2.4,None,2025-09-11 12h35.46.606882 -0400,
-3.2222222222222228,-15.0,m1,negs,100,1,1,0,,,,,,,,,,,,,0,1,1,381,4.93012891698163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.866207999992184,4.93012891698163,5.36144837498432,5.36144837498432,5.436916499980725,5.436916499980725,,,,,,,,,,,,,,,
